pk,brand,product,image_url,price,description,category,serving,adjustable
1,Bulk,Pure Whey Protein,pure-whey-protein_bpb-wpc8-0000_main.jpg,16.99,"The foundation of any training programme, our easy-mixing Pure Whey Protein™ powder is loaded with 22g of Protein and 5g of BCAAs per serving, available in over 20 delicious flavours.

Our Pure Whey Protein™ shake is exactly what it sounds like. High quality, premium Whey Protein sourced from the milk of grass-fed, European cows. It’s ideal for anyone starting out on their fitness journey, or any regular trainer looking to pack in the protein. It can even be added to smoothies or used for home baking.",supplements,1kg,
2,Bulk,Vegan Protein Powder,vser-vppo-vegan-protein-powder-main.jpg,27.99,"The foundation of any training programme, our easy-mixing Vegan Protein Powder is made from our V+™ plant-based protein blend. It’s loaded with 23g of protein per serving, entirely free from soya, and available in 7 delicious flavours.

Our Vegan Protein Powder is exactly what it sounds like. High quality, premium protein powder made from an exclusive blend of 5 plant-based sources. It’s ideal if you’re training on a meat-free diet, whether you’re a beginner or a regular, or if you’re just looking for some alternative protein sources to supplement your regular diet.",supplements,1kg,
3,Bulk ,Mass Gainer,mass-gainer_bble-cmas_main.jpg,13.99,"Our most popular weight gainer formula designed for serious bulking, containing over 500kcal per serving including 66g of carbohydrate, 5g of leucine, and 40g of protein from slow and fast release sources.

When it comes to building muscle, working out is only the first part. Your body needs protein to build new muscle, as protein contributes to the growth of muscle mass. So our Mass Gainer formula is loaded with a combination of protein from multiple sources, high quality carbs and added leucine – and it’s available in a selection of incredible flavours.",supplements,7 serving,
4,Muscle Squad,32.5kg Adjustable Dumbbell,MuscleSquad-Dumbells-1811200013-web_2048x2048.jpg,225,"Our 32.5kg adjustable dumbbell uses heavy-duty, laser-cut steel plates to ensure a smooth locking mechanism. Not only is it a serious piece of kit, but it will also look great in your home gym setup.

This single dumbbell has twelve different weight settings, meaning it has the functionality of twelve separate dumbbells in one single package. If you work out in a small garage or spare room with limited space, the adjustable dumbbell means you can still get a full workout in without taking up valuable floor space.",home gym equipment,,adjustable dumbbell
5,Muscle Squad,Neoprene Dumbbells 10kg,MainImage-10kg_2048x2048.jpg,55,"A great way to start your fitness journey, these dumbbells are made from cast iron and then coated in a soft, grippy neoprene finish. This allows for added grip and protection, and the hex shape keeps the dumbbells in place without them rolling away.

The dumbbells can be used for a variety of muscle-building exercises and are suitable for both beginners and advanced users. A staple for any home gym.",home gym equipment,,fixed dumbbell
6,Muscle Squad,Neoprene Dumbbells 5kg,MainImage-5kg_2048x2048.jpg,33,"A great way to start your fitness journey, these dumbbells are made from cast iron and then coated in a soft, grippy neoprene finish. This allows for added grip and protection, and the hex shape keeps the dumbbells in place without them rolling away.

The dumbbells can be used for a variety of muscle-building exercises and are suitable for both beginners and advanced users. A staple for any home gym.",home gym equipment,,fixed dumbbell
7,MyProtein,Weight Gainer Blend,10529988-1004620647157420.jpg,31.99,"If you’re looking to gain weight, build strength, or increase size then you’re going to have to consume more calories than you burn throughout the day — known as a calorie surplus.

And, although that sounds really simple, eating the wrong types of foods can lead to an increase in body fat, which isn’t ideal. To gain muscle you must combine a calorie surplus, with high-quality protein sources — which contribute to the growth and maintenance of muscle mass1 — and a well thought-out strength training plan.",supplements,2.5kg,
8,MyProtein,Impact Whey Protein,10530943-1224889444460882.jpg,64.99,"Premium whey packed with 21g of protein per serving, for the everyday protein you need from a quality source.

And where does this whey come from? The same cows that produce your milk and cheese — simply filtered, evaporated, and spray-dried to produce all-natural nutritionals.

Ranked Grade A by independent tester Labdoor for both quality and value, Impact Whey Protein is officially certified as one of the best protein powders on the market.",supplements,2.5kg,
9,MyProtein,The Whey+,11766317-1654620667075716.jpg,42.99,"Achieve your goals with THE Whey+ with PhaseTech™ — our most advanced whey formula to date. Our time-release beadlet delivery system optimises recovery with a phased BCAA, leucine, and glutamine boost — these naturally occur in protein which helps to build and repair new muscle.1",supplements,30 serving,
10,Gravity Fitness,Portable Pull Up Rack,001-Gravity-Fitness-Portable-Pull-Up-Rack_1200x.jpg,119.95,"The Gravity Fitness Portable Bodyweight & Pull Up Rack has been designed to offer a complete workout using only your bodyweight, anywhere in the world. They are ideal for anyone with an interest in CrossFit, gymnastics, street workout, calisthenics, resistance training or even someone simply wanting to gain some functional strength or improve their physique.

With no screws or bolts, the convenient Gravity Fitness Bodyweight & Pull Up Rack can be assembled in only a few minutes. Once disassembled, it can be easily stored out of the way in the carry bag provided.
",home gym equipment,,
11,Gravity Fitness,XL Pro Parallettes 3.0,001-Graivty-Fitness-Parallettes_1200x.jpg,69.95,"Europe’s best selling Parallettes just got better! The Gravity Fitness 2.0 Parallettes come as standard with thicker 38mm handles which improve grip and are much kinder on your wrists.

Gravity Fitness steel Parallettes are ideal for anyone with an interest in CrossFit, gymnastics, street workout, calisthenics, resistance training or even someone simply wanting to gain some functional strength or improve their physique.",home gym equipment,,
12,Gravity Fitness,Medium Pro Parallettes 3.1,011-Graivty-Fitness-Parallettes_1200x.jpg,59.95,"Voted the Best Parallettes for 2021 by Mens Health Magazine.

Europe’s best selling parallettes just got better! The Gravity Fitness 3.0 Parallettes come as standard with thicker 38mm handles which improve grip and are much kinder on your wrists.

Gravity Fitness steel parallettes are ideal for anyone with an interest in CrossFit, gymnastics, street workout, calisthenics, resistance training or even someone simply wanting to gain some functional strength or improve their physique.",home gym equipment,,
13,Gravity Fitness,20kg Weighted Vest,Gravity-Fitness-Weighted-Vest-3_2000x.jpg,99.95,"Introducing the Gravity Fitness Weighted Vest! Perfect for levelling up any workout programme.

Gravity Fitness Weighted Vests are ideal for anyone with an interest in CrossFit, gymnastics, street workout, calisthenics, resistance training or even someone simply wanting to gain some functional strength or improve their physique.",home gym equipment,,
14,Gravity Fitness,20kg Heavy Duty Sandbag,019-GravityFitnessSandbag_2000x.jpg,44.95,"Check out the Gravity Fitness Heavy Duty Sandbag, available in up to 20 and 50KG. Functional fitness doesn’t get more timeless than a classic sandbag. This versatile bit of kit allows you to incorporate a multitude of dynamic moves into your training regimen, adding an extra dimension to your tried-and-tested routine.

Professional grade, these sandbags are ideal for both gym and home workouts and are an effective tool to help you level-up your power, core strength, balance, and stability.",home gym equipment,,
15,Pro Fitness,12kg Kettle Bell,8463106_R_Z001A.jpg,16.99,Whether you're using this kettlebell in the traditional way or using it for freeweight exercises this kettlebell will really help you get into the swing of things. Kettlebells are ideal for strengthening and toning your muscles and improving your endurance too. You can also boost your cardio stamina and promote healthy weight loss.,home gym equipment,,
16,Pro Fitness,24kg Kettle Bell,8892447_R_Z001A.jpg,34.99,"Great for a more intense workout, this 24kg kettlebell is not for the faint hearted. With the increased weight it's not for beginners but is still great for strengthening and toning your muscles, through either the traditional swinging motion exercise or through static weight lifting. You can improve endurance, boost your cardio stamina and promote healthy weight loss too.",home gym equipment,,
17,Fitbit,Versa 3 Smart Watch Black,7843198_R_Z001A.jpg,199.99,"Meet Fitbit Versa 3—the smartwatch with everything you need to just go. Track your pace & distance—and leave your phone at home—with built-in GPS. You can also get call, text and app notifications, use Google Assistant or Amazon Alexa Built-in and control Spotify and Deezer when your phone is nearby. * Plus with Active Zone Minutes, 20+ exercise modes and 6+ day battery with 12-minute fast charging, you've got all the motivation you need to reach your health & fitness goals.",Fitness Tracker,,
18,Fitbit,Charge 4 Fitness Tracker Black,7440003_R_Z001A.jpg,99.99,"With Fitbit Charge 4, there's no limit to how far you can go. This sleek, water-resistant tracker is packed with features that help you know your workouts and your body better like built-in GPS with intensity map, Active Zone Minutes, new exercise modes and sleep tracking with Sleep Score & Smart Wake. Plus, with Fitbit Pay, Spotify Connect & Control and up to 7-days battery life, you get more convenience on the go and more inspiration to reach your health and fitness goals.",Fitness Tracker,,
19,Huawei,Band 4 Smart Fitness Tracker,3442029_R_Z001A.jpg,26.66,"HUAWEI Band 4 is a high-end smart band with a water resistance of 50 meters, color screen, complete touchscreen and a home button control. Also featuring a USB charging port, the band is easy to charge by simply plugging the port into a power supply. Integrating smart features such as heart rate monitoring, fitness monitoring, sleep monitoring and message reminders, it is the perfect companion for a smartphone in helping users to understand their fitness and health status.",Fitness Tracker,,
20,Garmin,venu GPS Smart Watch Black,2155111_R_Z001A.jpg,199.99,"The Venu GPS smartwatch features a bright, beautiful AMOLED display and a battery life of up to 5 days, so you can spend more time doing the activities you love. Get on-screen, animated cardio, strength, yoga and Pilates workouts right on your watch screen. With the broadest available range of all-day health monitoring features including Body Battery energy monitor and Pulse Ox— and by tracking your respiration, menstrual cycle, stress, sleep, heart rate, hydration and more, Venu can show you the full picture of your health in vivid detail.",Fitness Tracker,,
21,Garmin,Instinct GPS Fitness Tracker Graphite,4016485_R_Z001A.jpg,269.99,"When you can rely on Instinct, the world can rely on you. This rugged Garmin GPS watch is built to military standards and is water-rated to 100 metres. Keep your bearings with a built-in 3-axis compass and barometric altimeter. Multiple Global Navigation Satellite Systems (GPS, GLONASS and Galileo) help you track in more challenging environments than with GPS alone. Monitor your heart rate all day with wrist-based heart rate. Stay connected with smart notifications and automatic uploads to the Garmin Connect online fitness community.",Fitness Tracker,,
22,Huawei,GT 2 42m Smart Watch Cyan,3444388_R_Z001A.jpg,109.99,"HUAWEI WATCH GT 2 is a 42 mm, ultra-thin sport watch featuring a water resistance rating of 50 meters, one week of battery life, and integrated smart features such as TruSleep, workout monitoring, message reminders, heart rate monitoring, GPS tracking and more.

Your watch can continuously monitor your heart rate throughout the entire day. If your watch detects an unusual heart rate (alarm value), it will vibrate to alert you. Your watch can also synchronize the data to your mobile phone, and then from your mobile phone to the HUAWEI Health Cloud Platform.",Fitness Tracker,,
23,Pro Fitness,EB2000 Exercise Bike,7823792_R_Z001A.jpg,219.99,"The Pro Fitness EB2000 exercise bike not only looks great but is superb to use, giving you the best possible home cycling experience. Track your distance travelled, calories burned, time taken and so much more on the 5 inch screen. You can adjust the seat and handlebar height, as well as the armrest angle to give you a comfortable ride and the 6kg, unidirectional inertia flywheel gives you smooth riding and quiet movement during your home workout. With 16 levels of tension control you can ramp up your cycle workout from leisurely to intense.",home gym equipment,,
24,Opti,Purple Gym Ball 65cm,6162526_R_Z001A.jpg,7.99,"Whether you're training at home or in the gym, this Opti Gym Ball will make the perfect workout partner. Ideal for training, toning and strengthening your core muscles, you can advance to using weights to train other areas of your body, including your chest, shoulders and arms. This gym ball is great for improving your balance and co-ordination.",home gym equipment,,
25,Opti,Deluxe Skipping Rope,6162423_R_Z001A.jpg,5.99,"Increase your agility and balance with this 9ft Skipping Rope. The foam covered handles provide extra comfort, while the ball bearings offer speed and smoothness of rotation.

274cm long skipping rope.",home gym equipment,,
26,Opti,Resistance Loops 4 Pack,9202641_R_Z001A.jpg,11.99,"The Opti resistance loops can be used to add variety to standard workouts - giving you great variation every time. Great for the development of specific muscles and tendons the four different weights give you a gradual challenge and help you to build your muscle strength. Start with the lowest level of resistance and build sets and repetitions gradually as you progress. Lightweight and portable, these resistance loops can be taken anywhere and give you an alternative to heavy and large weights.",home gym equipment,,
27,Opti,Push Up Bars,6185675_R_Z001A.jpg,9.99,"These Opti Push-Up Bars are a great tool to develop define sharp pectoral muscles, powerful biceps and triceps. Work out your stomach and abs to maximize your muscle toning routine. While the different positining of the stands quickly target different muscle groups.",home gym equipment,,
28,Opti,Weighted Hula Hoop 1.25kg,4543408_R_Z001A.jpg,15.99,"Feel the burn, and add an extra element to your exercise. This 1.25kg weighted hula hoop is more effective than crunches, helping you towards amazing abs. Burn more calories and increase your flexibility. With optimised padded soft foam that perfectly fits your waist while exercising this hula hoop gives you effective massage pressure on your waist. Easily assembled and disassembled, you can carry it anywhere you want.
",home gym equipment,,
